År,Kön,Svarsalternativ,Procent,Antal svar
1996,Kvinna,Dåligt förslag,13,113
1996,Kvinna,Bra förslag,70,621
1996,Kvinna,Varken bra eller dåligt förslag,17,155
1997,Kvinna,Dåligt förslag,13,111
1997,Kvinna,Bra förslag,70,592
1997,Kvinna,Varken bra eller dåligt förslag,17,139
1998,Kvinna,Bra förslag,58,1009
1998,Kvinna,Varken bra eller dåligt förslag,22,385
1998,Kvinna,Dåligt förslag,20,345
1999,Kvinna,Varken bra eller dåligt förslag,19,312
1999,Kvinna,Bra förslag,67,1126
1999,Kvinna,Dåligt förslag,14,233
2000,Kvinna,Dåligt förslag,17,290
2000,Kvinna,Bra förslag,62,1063
2000,Kvinna,Varken bra eller dåligt förslag,20,348
2001,Kvinna,Dåligt förslag,12,212
2001,Kvinna,Bra förslag,69,1186
2001,Kvinna,Varken bra eller dåligt förslag,18,317
2002,Kvinna,Varken bra eller dåligt förslag,21,365
2002,Kvinna,Bra förslag,66,1173
2002,Kvinna,Dåligt förslag,13,234
2003,Kvinna,Bra förslag,65,1171
2003,Kvinna,Varken bra eller dåligt förslag,20,363
2003,Kvinna,Dåligt förslag,15,265
2004,Kvinna,Bra förslag,61,1053
2004,Kvinna,Varken bra eller dåligt förslag,21,357
2004,Kvinna,Dåligt förslag,19,321
2005,Kvinna,Varken bra eller dåligt förslag,22,371
2005,Kvinna,Bra förslag,62,1046
2005,Kvinna,Dåligt förslag,16,279
2006,Kvinna,Dåligt förslag,22,173
2006,Kvinna,Varken bra eller dåligt förslag,24,190
2006,Kvinna,Bra förslag,54,431
2007,Kvinna,Dåligt förslag,16,137
2007,Kvinna,Bra förslag,65,539
2007,Kvinna,Varken bra eller dåligt förslag,19,158
2008,Kvinna,Bra förslag,55,446
2008,Kvinna,Varken bra eller dåligt förslag,24,194
2008,Kvinna,Dåligt förslag,21,174
2009,Kvinna,Bra förslag,51,390
2009,Kvinna,Varken bra eller dåligt förslag,25,191
2009,Kvinna,Dåligt förslag,24,183
2010,Kvinna,Dåligt förslag,28,234
2010,Kvinna,Bra förslag,48,402
2010,Kvinna,Varken bra eller dåligt förslag,24,197
2011,Kvinna,Varken bra eller dåligt förslag,22,181
2011,Kvinna,Dåligt förslag,23,189
2011,Kvinna,Bra förslag,54,435
2012,Kvinna,Dåligt förslag,21,313
2012,Kvinna,Varken bra eller dåligt förslag,25,375
2012,Kvinna,Bra förslag,55,829
2013,Kvinna,Varken bra eller dåligt förslag,22,179
2013,Kvinna,Dåligt förslag,25,202
2013,Kvinna,Bra förslag,53,430
2014,Kvinna,Bra förslag,47,417
2014,Kvinna,Varken bra eller dåligt förslag,22,197
2014,Kvinna,Dåligt förslag,31,279
2015,Kvinna,Bra förslag,57,482
2015,Kvinna,Varken bra eller dåligt förslag,22,185
2015,Kvinna,Dåligt förslag,22,185
2017,Kvinna,Bra förslag,62,574
2017,Kvinna,Varken bra eller dåligt förslag,20,182
2017,Kvinna,Dåligt förslag,19,172
2018,Kvinna,Varken bra eller dåligt förslag,21,192
2018,Kvinna,Dåligt förslag,24,223
2018,Kvinna,Bra förslag,55,510
2019,Kvinna,Dåligt förslag,23,189
2019,Kvinna,Bra förslag,53,429
2019,Kvinna,Varken bra eller dåligt förslag,24,195
2020,Kvinna,Dåligt förslag,20,184
2020,Kvinna,Varken bra eller dåligt förslag,21,198
2020,Kvinna,Bra förslag,59,542
2021,Kvinna,Dåligt förslag,18,149
2021,Kvinna,Bra förslag,60,498
2021,Kvinna,Varken bra eller dåligt förslag,21,177
2022,Kvinna,Bra förslag,57,511
2022,Kvinna,Varken bra eller dåligt förslag,22,199
2022,Kvinna,Dåligt förslag,20,183
2023,Kvinna,Varken bra eller dåligt förslag,23,208
2023,Kvinna,Bra förslag,62,569
2023,Kvinna,Dåligt förslag,15,142
2024,Kvinna,Dåligt förslag,19,175
2024,Kvinna,Bra förslag,63,577
2024,Kvinna,Varken bra eller dåligt förslag,18,166
1996,Kvinna,Mycket bra förslag,36,324
1997,Kvinna,Mycket bra förslag,36,301
1998,Kvinna,Mycket bra förslag,29,500
1999,Kvinna,Mycket bra förslag,35,580
2000,Kvinna,Mycket bra förslag,34,574
2001,Kvinna,Mycket bra förslag,39,670
2002,Kvinna,Mycket bra förslag,37,654
2003,Kvinna,Mycket bra förslag,35,632
2004,Kvinna,Mycket bra förslag,32,552
2005,Kvinna,Mycket bra förslag,33,553
2006,Kvinna,Mycket bra förslag,26,205
2007,Kvinna,Mycket bra förslag,31,260
2008,Kvinna,Mycket bra förslag,26,215
2009,Kvinna,Mycket bra förslag,23,175
2010,Kvinna,Mycket bra förslag,24,203
2011,Kvinna,Mycket bra förslag,27,217
